source,sourceScore,hr,ro,zh,ca,vi,tr,no,nn,hu,lv,te,hi,lt,ga,th,bn,id,de,fi,ta,bg,ka,sv,fr,hy,sl,sk,uk,da,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pt,pl,en,ru,et,es,ja,nl,
lo,1,55.46218487394958,72.0,62.88721804511278,66.3157894736842,53.84615384615385,25.679012345679013,69.98571428571428,55.51724137931034,41.76842105263158,39.49367088607595,39.11904761904762,27.310344827586206,55.55357142857143,9.23076923076923,66.15602836879432,51.262135922330096,45.333333333333336,33.757009345794394,49.02857142857143,35.32394366197183,60.59016393442623,25.333333333333332,46.495726495726494,43.5,36.45977011494253,61.83206106870229,62.734375,79.9751552795031,66.8905109489051,35.632183908045974,51.92982456140351,71.11111111111111,73.41496598639456,27.36,34.24444444444445,36.81553398058252,9.35897435897436,48.71287128712871,72.36486486486487,39.375,36.96,81.8048780487805,68.28985507246377,51.264,51.37190082644628,61.343511450381676,68.28368794326241,27.851063829787233,61.83206106870229,
jv,1,45.91304347826087,61.056,82.98795180722891,71.94444444444444,37.5,17.333333333333332,67.46666666666667,53.873873873873876,29.301204819277107,32.59701492537314,41.333333333333336,28.8,48.371134020618555,5.217391304347826,35.775,59.71653543307087,76.71794871794872,43.37391304347826,25.75609756097561,33.492537313432834,52.83018867924528,19.372549019607842,45.43103448275862,25.58823529411765,40.21978021978022,59.01639344262295,65.51470588235294,61.07936507936508,56.46017699115044,20.10810810810811,52.17391304347826,48.69565217391305,57.983333333333334,62.42857142857143,30.804597701149426,29.31958762886598,27.57777777777778,7.5,58.15384615384615,38.07692307692308,17.433962264150942,65.19402985074628,53.26495726495727,14.68041237113402,12.923076923076923,47.979166666666664,83.0,11.132530120481928,50.79661016949152,
tl,1,41.34939759036145,61.714285714285715,19.397849462365592,58.333333333333336,78.79746835443038,63.46456692913386,38.8125,33.22222222222222,62.464,46.63917525773196,31.96875,49.06194690265487,49.98,5.217391304347826,64.38518518518518,47.49473684210526,75.15789473684211,9.45054945054945,72.32876712328768,11.55,56.0,49.5045871559633,11.208791208791208,71.0204081632653,7.507692307692308,42.52873563218391,43.51648351648352,55.96638655462185,28.623376623376622,70.23776223776224,22.857142857142858,56.774193548387096,51.171171171171174,42.59340659340659,68.46715328467154,72.5068493150685,72.49655172413793,63.75,41.5531914893617,13.584905660377359,53.84615384615385,43.333333333333336,65.14285714285714,75.12987012987013,78.68354430379746,33.108108108108105,20.96842105263158,69.3,34.601941747572816,
ht,1,51.471698113207545,53.05263157894737,84.89411764705882,60.32520325203252,27.717391304347824,14.246575342465754,57.983193277310924,47.45263157894737,10.971428571428572,33.26470588235294,38.8433734939759,25.714285714285715,42.88636363636363,21.3953488372093,26.87323943661972,56.61538461538461,76.33548387096774,52.70967741935484,5.739130434782608,41.8,46.666666666666664,21.50943396226415,59.69465648854962,9.456521739130435,49.03921568627451,59.01639344262295,66.15942028985508,69.77142857142857,58.983050847457626,25.435897435897434,53.553719008264466,55.9349593495935,66.76119402985074,43.369565217391305,38.48936170212766,19.31111111111111,17.59036144578313,40.0,63.984375,49.5,19.854545454545455,65.19402985074628,46.981818181818184,16.346938775510203,12.923076923076923,53.12149532710281,84.4733727810651,30.479166666666668,57.024,
tg,1,56.0,65.45454545454545,59.751937984496124,68.46715328467154,32.8125,29.404761904761905,70.46808510638297,55.82905982905983,24.303797468354432,44.2,38.27160493827161,40.390243902439025,57.1551724137931,24.313725490196077,33.97435897435897,56.94915254237288,39.666666666666664,54.6031746031746,25.75609756097561,31.428571428571427,57.46086956521739,31.56923076923077,57.109375,49.91803278688525,49.74757281553398,62.40601503759399,66.4748201438849,77.34193548387097,65.7910447761194,34.604651162790695,46.666666666666664,69.21985815602837,74.33557046979865,26.18918918918919,28.376470588235293,79.49685534591195,11.08860759493671,39.10112359550562,72.7248322147651,46.45161290322581,41.493975903614455,76.47058823529412,65.7910447761194,51.264,53.26829268292683,50.45544554455446,73.53020134228188,31.75257731958763,70.875,
ny,1,52.477064220183486,54.62068965517241,56.416,65.19083969465649,40.77669902912621,14.246575342465754,63.609375,51.30769230769231,24.303797468354432,36.32876712328767,35.67123287671233,22.153846153846153,53.38317757009346,6.666666666666667,38.31325301204819,46.45161290322581,56.957264957264954,17.916666666666668,33.0,29.084745762711865,54.981818181818184,18.24,29.70873786407767,37.62162162162162,21.43243243243243,60.317460317460316,62.734375,78.24203821656052,62.176,15.71830985915493,51.42857142857143,61.53846153846154,68.4087591240876,12.46875,9.305555555555555,35.627450980392155,67.63235294117646,39.10112359550562,70.09859154929578,32.142857142857146,27.096774193548388,74.33557046979865,53.26495726495727,31.314814814814813,33.6,57.30508474576271,60.01538461538462,11.132530120481928,52.65,
bs,1,58.44274809160305,70.98591549295774,50.99159663865546,66.3157894736842,38.613861386138616,36.111111111111114,69.0,54.87719298245614,39.913978494623656,46.63917525773196,36.027027027027025,41.86046511627907,61.359375,23.333333333333332,39.11904761904762,54.10909090909091,24.57831325301205,50.75409836065574,41.25,24.115384615384617,65.54074074074074,29.419354838709676,55.317460317460316,60.18045112781955,46.82828282828283,63.23529411764706,65.18518518518519,78.24203821656052,66.52941176470588,32.476190476190474,43.63636363636363,71.72413793103448,78.59119496855345,22.47887323943662,31.977272727272727,56.520325203252035,17.59036144578313,43.40425531914894,72.36486486486487,43.44827586206897,46.064516129032256,76.98701298701299,78.42038216560509,63.20289855072464,79.24528301886792,51.82692307692308,67.58571428571429,31.75257731958763,76.79220779220779,
uz,1,38.35897435897436,74.88,47.06086956521739,74.22818791946308,61.41732283464567,74.77124183006536,66.40601503759399,53.174311926605505,68.6376811594203,51.775862068965516,43.51923076923077,47.31428571428572,58.285714285714285,27.5,54.92727272727273,60.27906976744186,7.555555555555555,46.644067796610166,68.8695652173913,37.3421052631579,66.55072463768116,50.666666666666664,56.22047244094488,72.40268456375838,41.108695652173914,44.44444444444444,54.4954128440367,41.66990291262136,46.63917525773196,64.40310077519379,54.803149606299215,41.48148148148148,49.5045871559633,35.71084337349398,61.00813008130081,80.95061728395062,26.247191011235955,53.944954128440365,57.56896551724138,40.609756097560975,55.08196721311475,36.705882352941174,79.8,75.12987012987013,76.36363636363636,47.979166666666664,36.0188679245283,66.80882352941177,58.67716535433071,
ig,1,52.148148148148145,67.2,23.916666666666668,68.98550724637681,75.98684210526316,35.056179775280896,63.023622047244096,50.9126213592233,32.74418604651163,49.833333333333336,39.9080459770115,33.88235294117647,48.91836734693877,5.217391304347826,63.11450381679389,48.97959183673469,27.2,11.217391304347826,44.88,15.348837209302326,60.59016393442623,37.49333333333333,14.623655913978494,36.38181818181818,12.558823529411764,55.357142857142854,62.734375,74.49664429530202,54.836363636363636,50.78095238095238,40.97560975609756,52.436974789915965,67.86764705882354,9.193548387096774,38.48936170212766,53.983333333333334,76.79220779220779,40.0,66.3157894736842,15.0,28.0,37.86407766990291,74.98666666666666,59.776119402985074,47.38461538461539,36.43589743589744,26.828282828282827,41.06666666666667,60.27906976744186,
zu,1,43.49425287356322,60.38709677419355,20.93617021276596,59.00826446280992,75.98684210526316,65.98484848484848,47.31428571428572,39.75308641975309,64.0,50.091743119266056,28.862068965517242,46.588235294117645,50.495049504950494,5.217391304347826,62.109375,38.4,24.57831325301205,7.644444444444445,69.32374100719424,15.348837209302326,54.45871559633027,46.22680412371134,14.623655913978494,81.12883435582822,10.925373134328359,44.44444444444444,38.8235294117647,58.22950819672131,35.904761904761905,61.49593495934959,26.666666666666668,51.52542372881356,54.3304347826087,9.193548387096774,61.596774193548384,73.08843537414965,77.67948717948718,68.20143884892086,58.15384615384615,15.0,50.4,53.747899159663866,67.05882352941177,77.73417721518987,78.68354430379746,42.16279069767442,23.95876288659794,64.84210526315789,46.89473684210526,
