0.34	0.26
0.44	0.89
0.32	0.53
0.33	0.22
0.39	0.9
0.37	0.72
0.33	0.36
0.43	0.85
0.51	0.67
0.2	0.35
0.45	0.86
0.38	0.83
0.56	0.91
0.4	0.67
0.35	0.77
0.35	0.87
0.46	0.79
0.57	0.86
0.5	0.84
0.24	0.19
0.43	0.86
0.26	0.82
0.39	0.56
0.47	0.88
0.3	0.66
0.46	0.92
0.25	0.35
0.48	0.84
0.05	0.57
0.4	0.64
0.37	0.37
0.03	0.16
0.39	0.41
0.44	0.85
0.29	0.81
0.08	0.07
0.34	0.36
0.21	0.32
0.27	0.46
0.23	0.37
0.43	0.7
0.08	0.29
0.12	0.28
0.41	0.8
0.4	0.84
0.15	0.37
0.53	0.84
0.48	0.89
0.38	0.84
0.5	0.86
0.22	0.41
0.44	0.54
0.41	0.68
0.23	0.18
0.33	0.52
0.35	0.86
0.35	0.55
0.13	0.22
0.11	0.63
0.2	0.26
0.54	0.83
0.42	0.51
0.15	0.29
0.25	0.4
0.18	0.73
0.08	0.6
