source,sourceScore,hr,ro,zh,ca,vi,no,hu,nn,lv,te,lt,hi,ga,th,id,bn,de,fi,ta,bg,sv,ka,fr,hy,sl,sk,da,uk,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pl,pt,en,ru,et,es,nl,ja,
lo,1,55.46218487394958,72.0,62.88721804511278,66.3157894736842,56.25,69.98571428571428,45.25252525252525,55.51724137931034,40.90243902439025,39.11904761904762,55.55357142857143,30.857142857142858,18.94736842105263,66.15602836879432,27.2,51.262135922330096,39.92857142857143,51.333333333333336,36.567567567567565,60.59016393442623,50.578512396694215,29.419354838709676,46.78991596638655,41.108695652173914,61.83206106870229,62.734375,66.8905109489051,79.9751552795031,40.43478260869565,51.92982456140351,71.11111111111111,73.41496598639456,32.775,39.49473684210526,42.425925925925924,7.584415584415584,50.76923076923077,72.36486486486487,41.204819277108435,39.34177215189873,68.28985507246377,81.8048780487805,54.234375,54.193548387096776,61.343511450381676,68.28368794326241,61.83206106870229,34.22222222222222,
jv,1,45.91304347826087,61.056,82.0,70.98591549295774,37.5,66.94029850746269,29.301204819277107,53.527272727272724,32.59701492537314,41.108695652173914,48.371134020618555,28.8,5.217391304347826,35.775,76.71794871794872,59.136,43.37391304347826,25.75609756097561,33.492537313432834,52.83018867924528,45.43103448275862,19.372549019607842,25.58823529411765,40.21978021978022,58.333333333333336,64.85074626865672,56.46017699115044,61.07936507936508,20.10810810810811,51.68141592920354,48.69565217391305,57.983333333333334,67.91489361702128,30.804597701149426,29.31958762886598,27.57777777777778,7.5,58.15384615384615,38.07692307692308,17.433962264150942,53.26495726495727,65.19402985074628,14.68041237113402,12.923076923076923,47.979166666666664,81.98780487804878,50.79661016949152,11.132530120481928,
tl,1,40.78048780487805,61.056,19.397849462365592,57.64705882352941,78.34394904458598,38.8125,61.935483870967744,33.22222222222222,46.3125,31.96875,49.45454545454545,48.857142857142854,5.217391304347826,64.07462686567165,75.15789473684211,46.97872340425532,9.45054945054945,71.91724137931034,11.55,55.4954954954955,11.208791208791208,49.25925925925926,70.31506849315069,7.507692307692308,41.86046511627907,42.77777777777778,28.623376623376622,55.186440677966104,69.85915492957747,22.857142857142858,55.9349593495935,50.345454545454544,67.58571428571429,67.98529411764706,71.91724137931034,71.98611111111111,63.30708661417323,41.5531914893617,13.584905660377359,53.58620689655172,64.48484848484848,43.333333333333336,74.45751633986929,78.11464968152866,33.108108108108105,20.96842105263158,34.601941747572816,68.69064748201438,
ht,1,51.471698113207545,53.05263157894737,84.89411764705882,60.32520325203252,27.717391304347824,57.983193277310924,10.971428571428572,47.45263157894737,33.26470588235294,38.8433734939759,42.88636363636363,25.714285714285715,21.3953488372093,26.87323943661972,76.33548387096774,56.61538461538461,52.70967741935484,5.739130434782608,41.8,46.666666666666664,59.69465648854962,21.50943396226415,9.456521739130435,49.03921568627451,59.01639344262295,66.15942028985508,58.983050847457626,69.77142857142857,25.435897435897434,53.553719008264466,55.9349593495935,66.76119402985074,43.369565217391305,38.48936170212766,19.31111111111111,17.59036144578313,40.0,63.984375,49.5,19.854545454545455,46.981818181818184,65.19402985074628,16.346938775510203,12.923076923076923,53.12149532710281,84.4733727810651,57.024,30.479166666666668,
tg,1,56.0,65.45454545454545,51.93333333333333,68.46715328467154,38.613861386138616,70.46808510638297,30.476190476190474,55.82905982905983,45.638297872340424,35.30555555555556,57.1551724137931,42.87640449438202,26.666666666666668,38.31325301204819,25.904761904761905,56.94915254237288,62.42962962962963,31.862068965517242,33.0,57.46086956521739,64.52554744525547,34.14492753623188,59.31818181818182,55.55357142857143,62.121212121212125,66.15942028985508,65.7910447761194,76.88311688311688,39.51648351648352,43.63636363636363,69.21985815602837,74.33557046979865,31.746835443037973,34.24444444444445,83.25748502994011,11.08860759493671,41.73913043478261,72.36486486486487,49.09090909090909,45.65217391304348,65.7910447761194,76.47058823529412,60.65185185185185,60.274809160305345,45.23076923076923,73.53020134228188,70.875,37.745098039215684,
ny,1,51.471698113207545,54.62068965517241,56.416,64.03100775193798,40.77669902912621,63.023622047244096,24.303797468354432,50.9126213592233,36.32876712328767,35.67123287671233,52.924528301886795,22.153846153846153,6.666666666666667,38.31325301204819,56.957264957264954,46.45161290322581,17.916666666666668,33.0,29.084745762711865,54.45871559633027,29.70873786407767,18.24,37.62162162162162,21.43243243243243,59.34959349593496,61.6,60.85245901639344,75.94736842105263,15.71830985915493,50.642201834862384,61.53846153846154,66.76119402985074,12.46875,9.305555555555555,35.627450980392155,76.79220779220779,39.10112359550562,68.89208633093526,32.142857142857146,27.096774193548388,53.26495726495727,72.65753424657534,31.314814814814813,33.6,56.243478260869566,60.01538461538462,52.65,11.132530120481928,
bs,1,58.44274809160305,70.98591549295774,49.05982905982906,66.3157894736842,41.82692307692308,69.0,40.851063829787236,54.87719298245614,46.63917525773196,34.14492753623188,61.039370078740156,42.87640449438202,26.666666666666668,39.90588235294118,21.82716049382716,54.10909090909091,59.93939393939394,42.18556701030928,26.4,65.54074074074074,61.35338345864662,31.56923076923077,64.30434782608695,53.092592592592595,63.23529411764706,65.18518518518519,66.16296296296296,78.24203821656052,35.632183908045974,40.97560975609756,71.72413793103448,78.59119496855345,29.61038961038961,35.34065934065934,61.24031007751938,16.024390243902438,43.40425531914894,72.36486486486487,46.91489361702128,47.25,78.42038216560509,76.47058823529412,65.64539007092199,80.88888888888889,46.91489361702128,67.58571428571429,76.79220779220779,35.42,
uz,1,38.35897435897436,74.88,47.06086956521739,74.22818791946308,61.41732283464567,66.40601503759399,68.6376811594203,53.174311926605505,51.775862068965516,43.51923076923077,58.285714285714285,47.31428571428572,27.5,54.92727272727273,7.555555555555555,60.27906976744186,46.644067796610166,68.8695652173913,37.3421052631579,66.55072463768116,56.22047244094488,50.666666666666664,72.40268456375838,41.108695652173914,44.44444444444444,54.4954128440367,46.63917525773196,41.66990291262136,64.40310077519379,54.803149606299215,41.48148148148148,49.5045871559633,35.71084337349398,61.00813008130081,80.95061728395062,26.247191011235955,53.944954128440365,57.56896551724138,40.609756097560975,55.08196721311475,79.8,36.705882352941174,75.12987012987013,76.36363636363636,47.979166666666664,36.0188679245283,58.67716535433071,66.80882352941177,
ig,1,51.81308411214953,66.6268656716418,23.916666666666668,68.46715328467154,75.49668874172185,63.023622047244096,32.74418604651163,50.9126213592233,49.570093457943926,39.9080459770115,48.91836734693877,33.88235294117647,5.217391304347826,62.784615384615385,27.2,48.97959183673469,11.217391304347826,44.88,15.348837209302326,60.16528925619835,14.623655913978494,37.49333333333333,36.38181818181818,12.558823529411764,54.95495495495496,62.36220472440945,54.836363636363636,74.0,50.78095238095238,40.97560975609756,52.436974789915965,67.31851851851852,9.193548387096774,38.48936170212766,53.983333333333334,76.79220779220779,40.0,65.86363636363636,15.0,28.0,74.46979865771812,37.86407766990291,59.776119402985074,47.38461538461539,36.43589743589744,26.828282828282827,60.27906976744186,41.06666666666667,
zu,1,43.49425287356322,60.38709677419355,20.93617021276596,59.00826446280992,75.98684210526316,47.31428571428572,64.0,39.75308641975309,50.091743119266056,28.862068965517242,50.495049504950494,46.588235294117645,5.217391304347826,62.109375,24.57831325301205,38.4,7.644444444444445,69.32374100719424,15.348837209302326,54.45871559633027,14.623655913978494,46.22680412371134,81.12883435582822,10.925373134328359,44.44444444444444,38.8235294117647,35.904761904761905,58.22950819672131,61.49593495934959,26.666666666666668,51.52542372881356,54.3304347826087,9.193548387096774,61.596774193548384,73.08843537414965,77.23870967741935,67.82608695652173,58.15384615384615,15.0,50.4,67.05882352941177,53.747899159663866,77.73417721518987,78.68354430379746,42.16279069767442,23.95876288659794,46.89473684210526,64.84210526315789,
