0.15	0.26
0.14	0.89
0.35	0.53
0.11	0.22
0.12	0.9
0.21	0.72
0.11	0.36
0.09	0.85
0.09	0.67
0.11	0.35
0.1	0.86
0.14	0.83
0.13	0.75
0.14	0.91
0.06	0.67
0.14	0.77
0.2	0.87
0.17	0.79
0.14	0.86
0.14	0.56
0.06	0.84
0.06	0.19
0.22	0.08
0.11	0.86
0.14	0.82
0.1	0.56
0.08	0.07
0.04	0.88
0.1	0.66
0.23	0.92
0.18	0.12
0.06	0.35
0.1	0.84
0.07	0.57
0.07	0.44
0.28	0.64
0.31	0.37
0.29	0.16
0.2	0.41
0.24	0.85
0.19	0.27
0.27	0.86
0.16	0.81
0.17	0.07
0.15	0.07
0.05	0.36
0.08	0.32
0.21	0.46
0.32	0.17
0.07	0.37
0.33	0.7
0.18	0.12
0.15	0.29
0.3	0.28
0.26	0.8
0.11	0.52
0.18	0.84
0.07	0.1
0.19	0.37
0.18	0.84
0.08	0.89
0.07	0.84
0.09	0.86
0.09	0.06
0.31	0.41
0.13	0.54
0.11	0.68
0.16	0.1
0.07	0.18
0.05	0.52
0.07	0.03
0.21	0.36
0.07	0.86
0.12	0.21
0.27	0.55
0.38	0.52
0.18	0.22
0.2	0.63
0.11	0.26
0.17	0.83
0.08	0.51
0.24	0.29
0.27	0.4
0.14	0.73
0.18	0.15
0.07	0.04
0.04	0.6
0.31	0.15
