en	3000000
af	16139
ar	77631
az	13211
be	25927
bg	59124
bn	15296
bs	15956
ca	139936
cs	114378
cy	15776
da	63941
de	503526
el	45679
es	368434
et	29533
eu	33019
fa	77975
fi	116033
fr	456219
ga	6476
gl	43601
gu	2423
ha	62
he	82942
hi	16789
hr	43560
ht	188
hu	90599
hy	21164
id	65338
ig	58
is	10508
it	327493
ja	97303
jv	8862
ka	20934
kk	11601
km	810
kn	4194
ko	69196
lo	232
lt	39342
lv	21876
mg	2692
mi	1319
mk	21397
ml	12408
mn	5042
mo	79
mr	5005
ms	26536
mt	1455
my	1919
ne	2300
nl	234774
nn	42676
no	123940
ny	24
pa	3270
pl	246171
pt	217767
ro	52739
ru	222039
sh	54851
si	2035
sk	36419
sl	36690
so	660
sq	7788
sr	54853
st	3
su	3258
sv	168182
sw	6536
ta	17353
te	8560
tg	1302
th	21607
tl	8555
tr	63496
uk	124979
ur	9133
uz	3082
vi	76168
yi	3856
yo	428
zh	43200
zu	40
