source,hr,ro,zh,ca,vi,tr,no,nn,hu,lv,te,hi,lt,ga,th,bn,id,de,fi,ta,bg,ka,sv,fr,hy,sl,sk,uk,da,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pt,pl,en,ru,et,es,ja,nl,
ur,18700,45725,68170,40945,51434,48203,47762,26227,38072,21269,7414,18016,22921,10975,25936,22021,40142,62366,34461,15784,31818,26692,60223,80764,26646,26132,36490,50622,31529,39188,25962,64343,38778,34383,56557,93850,74150,25393,35360,21186,20667,74122,63012,157012,67078,25113,80312,56058,58413,
cy,18161,32253,39132,28924,35722,33438,35780,24117,28008,20646,5354,12429,20867,14604,23083,14055,28658,42629,32500,11490,27797,22773,45483,45987,20656,24077,27260,35123,30968,29335,21503,37469,24734,19798,36173,39861,37184,24031,31847,22103,20074,41148,47422,71293,39096,24220,42270,38396,43908,
kk,23233,63353,80772,60284,64289,41838,35780,21317,63469,19696,5731,13287,21549,11462,20568,14362,37378,77150,30268,12488,36367,26597,54100,87633,41375,25530,55412,91826,29284,47126,30963,83880,58855,53537,33765,48239,45264,22465,33119,22013,18824,94267,90008,90180,120543,24404,84471,45849,94186,
my,4470,5718,7666,6175,6689,6141,5784,4434,5633,5008,2896,4477,4854,3379,6164,4693,6442,6586,6111,4727,5607,4762,6678,7567,4644,4960,4966,6348,5730,5203,4714,6166,5389,5154,6831,7103,6884,5281,5742,4430,4864,7062,6458,10253,6756,4717,7063,7278,6237,
km,1460,2231,3440,2387,3145,2263,2284,1445,2106,1797,1020,1849,1667,975,2553,2010,2732,2471,2119,1743,1902,1755,2371,3134,1755,2088,1690,2473,2029,1840,1667,2508,2049,2075,2812,2955,2959,1726,1905,1607,1716,3086,2433,4582,2937,1580,2665,3215,2208,
ha,500,570,659,632,609,594,606,508,598,569,427,493,580,468,564,472,607,646,600,499,534,511,638,680,529,539,529,605,594,587,563,647,577,542,613,665,648,552,561,531,559,651,624,843,634,532,617,653,633,
kn,4563,5779,7606,6432,6394,6078,6199,4818,5674,5024,5292,7161,5130,3644,5672,5946,6816,7595,6534,7170,5620,4786,7125,8206,4662,5045,5037,6668,5837,5327,4648,6952,5317,5386,6595,7151,6855,5553,5956,4757,4705,7336,6757,11239,7272,4947,8010,7354,6705,
si,3362,4829,6690,4852,5317,4881,4546,3333,4307,3820,2441,3984,3516,2415,4756,4301,5464,5399,4823,4843,4279,3673,5443,6335,3597,4080,3661,5164,4740,3798,3341,5188,4341,4206,5478,6212,6020,4020,4362,3507,3653,6157,5274,10345,6051,3492,6031,6310,4772,
pa,7025,8303,10762,9358,8815,8851,9072,6423,8132,6654,4357,9592,7488,4732,7303,7290,8942,10874,9374,7583,7964,7032,9933,11557,6563,6412,6988,9688,8287,7522,6817,10402,8095,6828,9486,10437,10136,8079,8556,6911,7084,10290,10073,16626,10200,7139,11040,10240,9782,
ne,6034,7823,11949,8725,10011,7898,8315,5210,7606,6117,4567,9490,6682,4076,7686,7777,8845,10291,8894,6997,6994,6836,9941,12697,6385,6329,6325,9030,8273,7050,5849,10092,7183,9330,8940,11088,9618,6233,7168,6017,6256,10749,12516,19353,10962,5454,10896,10661,9597,
yo,9996,16970,25678,13142,25249,12893,15311,10386,22031,8878,3145,6779,9353,7131,10477,7635,12663,20813,14036,6253,11420,10776,15089,30736,17972,10387,15774,29061,11941,13593,8752,29536,16357,9204,13786,28175,13698,10391,12742,10484,13408,29301,27675,34099,13581,10405,18738,17527,13986,
gu,2561,3468,5499,4160,4660,3544,4074,2698,3261,3004,3671,5424,2936,1999,3541,4093,4214,4481,4012,4510,3274,2926,4538,5365,2856,2856,2736,3861,3643,3036,2716,4841,3245,3566,3920,4589,4551,2989,3244,2638,2796,4575,4366,7924,5275,2694,5220,4499,4325,
yi,6039,7433,8547,7870,7007,7559,7740,6548,6904,6359,3089,5126,6457,4630,6269,4472,7520,9213,7827,5128,7001,5845,8154,9763,5636,6057,6806,8314,7431,6696,5821,8616,7037,6030,7913,8327,8311,11922,8133,5950,6235,8752,8652,11242,8487,6277,8710,8514,8590,
af,17537,22480,28744,26841,22810,23235,25171,16743,21878,16015,4043,10419,19065,10321,17472,9778,21347,32507,25839,9981,22163,16465,29597,34192,14946,16095,19119,25977,22505,21912,15306,30555,20113,15392,25431,27084,24753,20563,24049,16922,17926,29940,29838,40055,28354,17394,31272,27793,33534,
