source,sourceScore,hr,ro,zh,ca,vi,tr,no,nn,hu,lv,te,hi,lt,ga,th,bn,id,de,fi,ta,bg,ka,sv,fr,hy,sl,sk,uk,da,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pt,pl,en,ru,et,es,ja,nl,
sq,1,15211.0,24444.0,27055.0,24137.0,19508.0,19904.0,23490.0,14957.0,22374.0,13719.0,4377.0,9278.0,15003.0,9259.0,14430.0,9949.0,18250.0,35019.0,20769.0,8746.0,20302.0,15043.0,26365.0,38335.0,17354.0,15880.0,20398.0,23097.0,18842.0,19661.0,13789.0,33676.0,23789.0,16527.0,20075.0,24299.0,23068.0,15836.0,24537.0,15397.0,15555.0,29488.0,28203.0,35693.0,25798.0,16279.0,29602.0,24579.0,31605.0,
ur,1,18700.0,45725.0,68170.0,40945.0,51434.0,48203.0,47762.0,26227.0,38072.0,21269.0,7414.0,18016.0,22921.0,10975.0,25936.0,22021.0,40142.0,62366.0,34461.0,15784.0,31818.0,26692.0,60223.0,80764.0,26646.0,26132.0,36490.0,50622.0,31529.0,39188.0,25962.0,64343.0,38778.0,34383.0,56557.0,93850.0,74150.0,25393.0,35360.0,21186.0,20667.0,74122.0,63012.0,157012.0,67078.0,25113.0,80312.0,56058.0,58413.0,
cy,1,18161.0,32253.0,39132.0,28924.0,35722.0,33438.0,35780.0,24117.0,28008.0,20646.0,5354.0,12429.0,20867.0,14604.0,23083.0,14055.0,28658.0,42629.0,32500.0,11490.0,27797.0,22773.0,45483.0,45987.0,20656.0,24077.0,27260.0,35123.0,30968.0,29335.0,21503.0,37469.0,24734.0,19798.0,36173.0,39861.0,37184.0,24031.0,31847.0,22103.0,20074.0,41148.0,47422.0,71293.0,39096.0,24220.0,42270.0,38396.0,43908.0,
kk,1,23233.0,63353.0,80772.0,60284.0,64289.0,41838.0,35780.0,21317.0,63469.0,19696.0,5731.0,13287.0,21549.0,11462.0,20568.0,14362.0,37378.0,77150.0,30268.0,12488.0,36367.0,26597.0,54100.0,87633.0,41375.0,25530.0,55412.0,91826.0,29284.0,47126.0,30963.0,83880.0,58855.0,53537.0,33765.0,48239.0,45264.0,22465.0,33119.0,22013.0,18824.0,94267.0,90008.0,90180.0,120543.0,24404.0,84471.0,45849.0,94186.0,
my,1,4470.0,5718.0,7666.0,6175.0,6689.0,6141.0,5784.0,4434.0,5633.0,5008.0,2896.0,4477.0,4854.0,3379.0,6164.0,4693.0,6442.0,6586.0,6111.0,4727.0,5607.0,4762.0,6678.0,7567.0,4644.0,4960.0,4966.0,6348.0,5730.0,5203.0,4714.0,6166.0,5389.0,5154.0,6831.0,7103.0,6884.0,5281.0,5742.0,4430.0,4864.0,7062.0,6458.0,10253.0,6756.0,4717.0,7063.0,7278.0,6237.0,
km,1,1460.0,2231.0,3440.0,2387.0,3145.0,2263.0,2284.0,1445.0,2106.0,1797.0,1020.0,1849.0,1667.0,975.0,2553.0,2010.0,2732.0,2471.0,2119.0,1743.0,1902.0,1755.0,2371.0,3134.0,1755.0,2088.0,1690.0,2473.0,2029.0,1840.0,1667.0,2508.0,2049.0,2075.0,2812.0,2955.0,2959.0,1726.0,1905.0,1607.0,1716.0,3086.0,2433.0,4582.0,2937.0,1580.0,2665.0,3215.0,2208.0,
ha,1,500.0,570.0,659.0,632.0,609.0,594.0,606.0,508.0,598.0,569.0,427.0,493.0,580.0,468.0,564.0,472.0,607.0,646.0,600.0,499.0,534.0,511.0,638.0,680.0,529.0,539.0,529.0,605.0,594.0,587.0,563.0,647.0,577.0,542.0,613.0,665.0,648.0,552.0,561.0,531.0,559.0,651.0,624.0,843.0,634.0,532.0,617.0,653.0,633.0,
kn,1,4563.0,5779.0,7606.0,6432.0,6394.0,6078.0,6199.0,4818.0,5674.0,5024.0,5292.0,7161.0,5130.0,3644.0,5672.0,5946.0,6816.0,7595.0,6534.0,7170.0,5620.0,4786.0,7125.0,8206.0,4662.0,5045.0,5037.0,6668.0,5837.0,5327.0,4648.0,6952.0,5317.0,5386.0,6595.0,7151.0,6855.0,5553.0,5956.0,4757.0,4705.0,7336.0,6757.0,11239.0,7272.0,4947.0,8010.0,7354.0,6705.0,
si,1,3362.0,4829.0,6690.0,4852.0,5317.0,4881.0,4546.0,3333.0,4307.0,3820.0,2441.0,3984.0,3516.0,2415.0,4756.0,4301.0,5464.0,5399.0,4823.0,4843.0,4279.0,3673.0,5443.0,6335.0,3597.0,4080.0,3661.0,5164.0,4740.0,3798.0,3341.0,5188.0,4341.0,4206.0,5478.0,6212.0,6020.0,4020.0,4362.0,3507.0,3653.0,6157.0,5274.0,10345.0,6051.0,3492.0,6031.0,6310.0,4772.0,
pa,1,7025.0,8303.0,10762.0,9358.0,8815.0,8851.0,9072.0,6423.0,8132.0,6654.0,4357.0,9592.0,7488.0,4732.0,7303.0,7290.0,8942.0,10874.0,9374.0,7583.0,7964.0,7032.0,9933.0,11557.0,6563.0,6412.0,6988.0,9688.0,8287.0,7522.0,6817.0,10402.0,8095.0,6828.0,9486.0,10437.0,10136.0,8079.0,8556.0,6911.0,7084.0,10290.0,10073.0,16626.0,10200.0,7139.0,11040.0,10240.0,9782.0,
ne,1,6034.0,7823.0,11949.0,8725.0,10011.0,7898.0,8315.0,5210.0,7606.0,6117.0,4567.0,9490.0,6682.0,4076.0,7686.0,7777.0,8845.0,10291.0,8894.0,6997.0,6994.0,6836.0,9941.0,12697.0,6385.0,6329.0,6325.0,9030.0,8273.0,7050.0,5849.0,10092.0,7183.0,9330.0,8940.0,11088.0,9618.0,6233.0,7168.0,6017.0,6256.0,10749.0,12516.0,19353.0,10962.0,5454.0,10896.0,10661.0,9597.0,
yo,1,9996.0,16970.0,25678.0,13142.0,25249.0,12893.0,15311.0,10386.0,22031.0,8878.0,3145.0,6779.0,9353.0,7131.0,10477.0,7635.0,12663.0,20813.0,14036.0,6253.0,11420.0,10776.0,15089.0,30736.0,17972.0,10387.0,15774.0,29061.0,11941.0,13593.0,8752.0,29536.0,16357.0,9204.0,13786.0,28175.0,13698.0,10391.0,12742.0,10484.0,13408.0,29301.0,27675.0,34099.0,13581.0,10405.0,18738.0,17527.0,13986.0,
gu,1,2561.0,3468.0,5499.0,4160.0,4660.0,3544.0,4074.0,2698.0,3261.0,3004.0,3671.0,5424.0,2936.0,1999.0,3541.0,4093.0,4214.0,4481.0,4012.0,4510.0,3274.0,2926.0,4538.0,5365.0,2856.0,2856.0,2736.0,3861.0,3643.0,3036.0,2716.0,4841.0,3245.0,3566.0,3920.0,4589.0,4551.0,2989.0,3244.0,2638.0,2796.0,4575.0,4366.0,7924.0,5275.0,2694.0,5220.0,4499.0,4325.0,
yi,1,6039.0,7433.0,8547.0,7870.0,7007.0,7559.0,7740.0,6548.0,6904.0,6359.0,3089.0,5126.0,6457.0,4630.0,6269.0,4472.0,7520.0,9213.0,7827.0,5128.0,7001.0,5845.0,8154.0,9763.0,5636.0,6057.0,6806.0,8314.0,7431.0,6696.0,5821.0,8616.0,7037.0,6030.0,7913.0,8327.0,8311.0,11922.0,8133.0,5950.0,6235.0,8752.0,8652.0,11242.0,8487.0,6277.0,8710.0,8514.0,8590.0,
af,1,17537.0,22480.0,28744.0,26841.0,22810.0,23235.0,25171.0,16743.0,21878.0,16015.0,4043.0,10419.0,19065.0,10321.0,17472.0,9778.0,21347.0,32507.0,25839.0,9981.0,22163.0,16465.0,29597.0,34192.0,14946.0,16095.0,19119.0,25977.0,22505.0,21912.0,15306.0,30555.0,20113.0,15392.0,25431.0,27084.0,24753.0,20563.0,24049.0,16922.0,17926.0,29940.0,29838.0,40055.0,28354.0,17394.0,31272.0,27793.0,33534.0,
